author,title,rating,totalratings,genre_list
Sylvia Day,Reflected in You,4.32,318709,Romance|Adult Fiction|Erotica|Contemporary|Romance|Contemporary Romance|Romance|Erotic Romance|Erotica|BDSM|New Adult|Womens Fiction|Chick Lit
"Umberto Eco,William Weaver",The Name of the Rose,4.13,315717,Historical|Historical Fiction|Mystery|Classics|Historical|Literature|Mystery|Crime|European Literature|Italian Literature|Cultural|Italy
J.K. Rowling,The Casual Vacancy,3.3,313167,Contemporary|Mystery|Adult Fiction|Drama|Unfinished|European Literature|British Literature
Jodi Picoult,Nineteen Minutes,4.13,312260,Contemporary|Womens Fiction|Chick Lit|Drama|Adult Fiction|Realistic Fiction|Mystery|Mystery|Crime
James Patterson,1st to Die,4.08,306146,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Suspense|Mystery|Murder Mystery|Mystery|Detective
Benjamin Alire SÃ¡enz,Aristotle and Dante Discover the Secrets of the Universe,4.33,302383,LGBT|Contemporary|Romance|GLBT|Queer|Realistic Fiction|Coming Of Age|Young Adult Contemporary
Marissa Meyer,Cress,4.41,299466,Fantasy|Science Fiction|Romance|Retellings|Science Fiction|Dystopia|Fantasy|Fairy Tales|Adventure
Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,4.36,298207,Science Fiction|Humor|Fantasy|Classics|Humor|Comedy|Science Fiction Fantasy|Adventure|European Literature|British Literature
"Chimamanda Ngozi Adichie,Jashar Awan",Americanah,4.3,295475,Cultural|Africa|Contemporary|Feminism|Literary Fiction|Race|Western Africa|Nigeria|Romance
Rick Riordan,The House of Hades,4.52,294712,Fantasy|Fantasy|Mythology|Middle Grade|Adventure|Mythology|Greek Mythology|Fantasy|Urban Fantasy|Romance
Jennifer Weiner,Good in Bed,3.73,286952,Womens Fiction|Chick Lit|Romance|Contemporary|Adult Fiction|Humor|Romance|Contemporary Romance|Womens Fiction
Leigh Bardugo,Siege and Storm,3.91,286520,Fantasy|Romance|Young Adult Fantasy|Fantasy|Magic|Fantasy|High Fantasy|Adventure|Fantasy|Paranormal
Colleen Hoover,Hopeless,4.28,285492,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Sociology|Abuse|High School|Womens Fiction|Chick Lit|Drama
Agatha Christie,The Mysterious Affair at Styles,3.98,285103,Mystery|Classics|Mystery|Crime|Thriller|Mystery Thriller|Mystery|Detective|Thriller|European Literature|British Literature
Jodi Picoult,The Pact,4.01,280510,Romance|Contemporary|Womens Fiction|Chick Lit|Drama|Adult Fiction|Mystery|Realistic Fiction
William Landay,Defending Jacob,3.99,276162,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Book Club|Drama
"Ernest Hemingway,Ù†Ø¬Ù Ø¯Ø±ÛŒØ§Ø¨Ù†Ø¯Ø±ÛŒ",A Farewell to Arms,3.81,273675,Classics|Historical|Historical Fiction|War|Literature|Literature|American|Romance|Classics|Classic Literature|Academic|School
"Brian K. Vaughan,Fiona Staples","Saga, Vol. 1",4.17,272505,Sequential Art|Graphic Novels|Sequential Art|Comics|Fantasy|Science Fiction|Graphic Novels Comics|Romance|Comics|Comic Book|Adventure
Pierce Brown,Red Rising,4.23,272402,Science Fiction|Fantasy|Science Fiction|Dystopia|Science Fiction Fantasy|Adventure|Space
Diana Gabaldon,Voyager,4.37,269786,Historical|Historical Fiction|Romance|Fantasy|Science Fiction|Time Travel|Historical|Romance|Historical Romance|Cultural|Scotland
Tennessee Williams,A Streetcar Named Desire,3.98,269690,Plays|Classics|Drama|Academic|School|Plays|Theatre|Literature|American|Academic|Read For School|Literature|High School
Mark Cotta Vaz,The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,4.28,269511,Fantasy|Romance|Paranormal|Vampires|Fantasy|Paranormal|Romance|Paranormal Romance|Fantasy|Supernatural|Love|Teen
Tim O'Brien,The Things They Carried,4.13,266287,Historical|Historical Fiction|Classics|War|Short Stories|Academic|School|Historical|War|Military Fiction|Literature|Academic|Read For School
"Mikhail Bulgakov,Katherine Tiernan O'Connor,Diana Lewis Burgin,Ellendea Proffer",The Master and Margarita,4.29,262455,Classics|Cultural|Russia|Fantasy|Literature|Russian Literature|Magical Realism|Literature|Historical|Historical Fiction|Literature|20th Century
Stephen King,The Green Mile,4.45,261605,Horror|Fantasy|Thriller|Mystery|Fantasy|Supernatural|Mystery|Crime|Fantasy|Paranormal|Classics
